Dive Site ID,Dive Site Name,Distance from Obstruction,Lat,Lng,Record #
22975,Captains Reef USVI,0.94,18.3125,-64.95894399999999,8745.0
22975,Captains Reef USVI,0.45,18.326656,-64.95809200000001,11858.0
22975,Captains Reef USVI,0.75,18.3305,-64.960986,11859.0
18549,La Pared de la Parguera,9.73,17.963672,-66.619553,11016.0
18549,La Pared de la Parguera,3.86,18.004510999999994,-66.766511,11760.0
22975,Captains Reef USVI,1.77,18.335,-64.927222,11050.0
18549,La Pared de la Parguera,2.97,17.991619,-66.765986,11761.0
18549,La Pared de la Parguera,9.27,17.941867000000006,-66.625753,11763.0
18549,La Pared de la Parguera,9.69,17.967397000000005,-66.620514,11764.0
18549,La Pared de la Parguera,8.17,17.972775,-66.644908,11765.0
18549,La Pared de la Parguera,8.14,17.969492000000006,-66.644722,11766.0
18549,La Pared de la Parguera,9.94,17.966997,-66.616647,11769.0
18549,La Pared de la Parguera,9.56,17.961333,-66.621789,11770.0
23774,Escambro,1.67,18.472944000000002,-66.12827800000001,11475.0
18501,Figure Eight Reef,1.92,18.458864000000002,-66.116197,11476.0
18501,Figure Eight Reef,1.18,18.460122,-66.104978,11479.0
18501,Figure Eight Reef,0.45,18.458758,-66.09088299999999,11480.0
18501,Figure Eight Reef,1.54,18.447192,-66.10235300000001,11481.0
18501,Figure Eight Reef,1.46,18.447942,-66.101403,11482.0
22975,Captains Reef USVI,0.27,18.327122,-64.954472,11487.0
18501,Figure Eight Reef,2.09,18.441333,-66.108083,1238.0
24392,Blue Chute,0.94,17.748028,-64.702917,789.0
22628,Carval Rock,1.91,18.359397,-64.768192,793.0
24129,Cayo Blanco,8.41,18.0783,-65.386825,6821.0
24129,Cayo Blanco,8.16,18.086356,-65.382936,6822.0
24129,Cayo Blanco,8.28,18.081910999999998,-65.385436,6823.0
23774,Escambro,3.1,18.469639,-66.152389,7055.0
18501,Figure Eight Reef,0.59,18.470778,-66.081556,7056.0
23774,Escambro,2.25,18.474711,-66.140606,7057.0
22975,Captains Reef USVI,1.26,18.331056,-64.93382199999999,14043.0
18501,Figure Eight Reef,1.23,18.463542,-66.106247,13778.0
18501,Figure Eight Reef,2.71,18.431606,-66.110047,13779.0
18501,Figure Eight Reef,1.25,18.463594,-66.106575,13781.0
18501,Figure Eight Reef,1.18,18.460122,-66.104897,13782.0
18501,Figure Eight Reef,1.4,18.453919,-66.10575,13783.0
23773,Fajardo cave,3.9,18.225111,-65.625361,10078.0
23773,Fajardo cave,4.04,18.223556,-65.634861,10080.0
23773,Fajardo cave,4.38,18.22275,-65.601833,10081.0
22975,Captains Reef USVI,1.18,18.330156,-64.934744,9769.0
22975,Captains Reef USVI,1.26,18.331039,-64.933814,9776.0
22975,Captains Reef USVI,1.26,18.338082999999997,-64.939239,9779.0
22975,Captains Reef USVI,0.73,18.330489,-64.942769,9780.0
22975,Captains Reef USVI,0.77,18.333306,-64.944833,9783.0
22975,Captains Reef USVI,0.78,18.329708,-64.941242,9786.0
22975,Captains Reef USVI,1.57,18.321869,-64.92788900000001,9788.0
22975,Captains Reef USVI,0.22,18.326142,-64.9543,9792.0
22975,Captains Reef USVI,1.11,18.317028,-64.966886,9793.0
24080,Charlotte Amalie,1.32,18.307972,-64.978914,9795.0
24080,Charlotte Amalie,1.44,18.306406,-64.978033,9796.0
22975,Captains Reef USVI,0.93,18.31255,-64.958628,9797.0
22975,Captains Reef USVI,1.03,18.317110999999997,-64.965411,9800.0
22975,Captains Reef USVI,1.13,18.314322,-64.965356,9801.0
22975,Captains Reef USVI,0.15,18.325656,-64.95003299999999,9804.0
23852,Frederiksted Pier,0.25,17.712502999999995,-64.887675,2504.0
23852,Frederiksted Pier,0.26,17.712585999999995,-64.887869,2505.0
18501,Figure Eight Reef,7.73,18.468,-65.969611,2893.0
18501,Figure Eight Reef,8.77,18.440057,-65.956165,2916.0
22975,Captains Reef USVI,1.87,18.340286,-64.928678,8562.0
22975,Captains Reef USVI,1.22,18.330719000000002,-64.934475,8564.0
22975,Captains Reef USVI,1.24,18.331256,-64.934308,8565.0
22975,Captains Reef USVI,1.24,18.331256,-64.934308,8566.0
22975,Captains Reef USVI,1.34,18.3349,-64.968756,8568.0
22975,Captains Reef USVI,1.33,18.334225,-64.934392,8569.0
22975,Captains Reef USVI,1.36,18.329007999999998,-64.93155,8548.0
22975,Captains Reef USVI,1.33,18.335567,-64.93525600000001,8570.0
22975,Captains Reef USVI,1.3,18.334939000000002,-64.93540300000001,8571.0
22975,Captains Reef USVI,1.29,18.336333,-64.936667,8572.0
22975,Captains Reef USVI,1.17,18.335014,-64.965514,8573.0
24402,Twin Anchors,0.81,17.776356,-64.752086,3781.0
24402,Twin Anchors,0.81,17.776467,-64.75210799999999,3782.0
24402,Twin Anchors,0.72,17.779425,-64.752336,3783.0
24402,Twin Anchors,1.32,17.773781,-64.759569,3784.0
24402,Twin Anchors,1.33,17.773460999999994,-64.759596,3785.0
24390,Eagle Ray,0.75,17.750583,-64.698531,4430.0
24390,Eagle Ray,0.72,17.751389,-64.695725,4431.0
23608,St. Croix,5.49,17.674975,-64.794306,4470.0
22454,Cuyahoga,14.73,36.871722,-75.127333,15019.0
24380,Chesapeake Light Tower,9.81,36.988389,-75.848029,14201.0
16843,The Blackfish Banks Artificial Reef,10.8,37.966789,-75.15463199999998,14229.0
24380,Chesapeake Light Tower,10.2,37.010764,-75.826592,14155.0
16843,The Blackfish Banks Artificial Reef,12.27,37.980306,-75.133769,14223.0
23491,Wendys Wreck,9.58,38.797108,-74.585297,8740.0
23455,China Wreck,2.49,38.787903,-74.925736,8774.0
23455,China Wreck,2.49,38.788019,-74.925497,8775.0
23455,China Wreck,2.46,38.787831,-74.92495,8776.0
23455,China Wreck,21.06,39.004717,-75.129714,11938.0
23455,China Wreck,20.59,38.999136,-75.124769,11943.0
23455,China Wreck,19.52,38.983719,-75.11820300000002,11944.0
23455,China Wreck,16.58,38.944041999999996,-75.094433,11948.0
23455,China Wreck,16.7,38.94515300000001,-75.096122,11949.0
23455,China Wreck,19.61,38.988669,-75.112328,11950.0
23455,China Wreck,10.43,38.854586,-75.048642,11951.0
23455,China Wreck,20.95,39.003285999999996,-75.12883599999998,11954.0
23455,China Wreck,15.29,38.928447,-75.08107199999998,11956.0
23455,China Wreck,19.73,38.990808,-75.11224399999998,11957.0
23455,China Wreck,14.79,38.925036,-75.07185799999998,11958.0
23455,China Wreck,12.25,38.882560999999995,-75.061575,11959.0
