Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
54094.0,OBSTRUCTION,Obstruction - Submerged,55.9346,-155.5406,
53696.0,OBSTRUCTION,Obstruction - Submerged,57.726443999999994,-152.5195,High
53695.0,OBSTRUCTION,Obstruction - Submerged,57.721194,-152.526222,High
53719.0,OBSTRUCTION,Obstruction - Submerged,54.272833,-164.857167,Low
53721.0,OBSTRUCTION,Obstruction - Submerged,54.34,-164.74016699999999,Low
53720.0,OBSTRUCTION,Obstruction - Submerged,54.302167000000004,-164.743333,Low
51010.0,OBSTRUCTION,Obstruction - Submerged,55.440796999999996,-162.657581,Med
50393.0,OBSTRUCTION,Obstruction - Submerged,57.78133100000001,-152.4124,High
51015.0,OBSTRUCTION,Rock - Covered at low water,59.36604200000001,-151.919594,High
51017.0,OBSTRUCTION,Rock - Awash,59.372992,-151.875975,High
51055.0,OBSTRUCTION,Obstruction - Submerged,57.515714,-156.033989,High
50414.0,OBSTRUCTION,Obstruction - Submerged,57.788607999999996,-152.398483,High
50420.0,OBSTRUCTION,Obstruction - Submerged,57.783025,-152.40651100000002,High
50422.0,OBSTRUCTION,Obstruction - Submerged,57.778718999999995,-152.447236,High
50424.0,OBSTRUCTION,Obstruction - Submerged,57.784581,-152.41026100000002,High
50734.0,OBSTRUCTION,Obstruction - Visible at high water,59.671053,-151.711306,Low
51735.0,OBSTRUCTION,Obstruction - Submerged,59.69945,-144.335289,Low
51743.0,OBSTRUCTION,Obstruction - Submerged,57.532993999999995,-154.01138899999998,Med
51744.0,OBSTRUCTION,Obstruction - Submerged,57.535160999999995,-153.993694,Med
51745.0,OBSTRUCTION,Obstruction - Submerged,57.5371,-153.998358,Med
51746.0,OBSTRUCTION,Obstruction - Submerged,57.538078000000006,-153.99836100000002,Med
51747.0,OBSTRUCTION,Obstruction - Submerged,57.53835600000001,-153.997444,Med
51748.0,OBSTRUCTION,Obstruction - Submerged,57.538939,-153.996028,Low
51749.0,OBSTRUCTION,Obstruction - Submerged,57.539161,-153.99361100000002,Low
51751.0,OBSTRUCTION,Obstruction - Submerged,57.537882999999994,-153.98625,Med
50738.0,OBSTRUCTION,Rock - Covered at low water,57.912622,-152.528056,High
50739.0,OBSTRUCTION,Rock - Covered at low water,57.91954200000001,-152.544431,High
50740.0,OBSTRUCTION,Rock - Covered at low water,57.247375,-156.34186699999998,High
50741.0,OBSTRUCTION,Rock - Covered at low water,57.550486,-155.816853,High
50742.0,OBSTRUCTION,Rock - Covered at low water,57.545683,-155.80478100000002,High
50743.0,OBSTRUCTION,Rock - Covered at low water,57.542589,-155.79603899999998,High
50744.0,OBSTRUCTION,Rock - Covered at low water,57.543006000000005,-155.797133,High
50745.0,OBSTRUCTION,Rock - Covered at low water,57.543589000000004,-155.79764699999998,High
50746.0,OBSTRUCTION,Rock - Covered at low water,57.542061,-155.792147,High
50747.0,OBSTRUCTION,Rock - Covered at low water,57.542117000000005,-155.790869,High
50748.0,OBSTRUCTION,Rock - Covered at low water,57.545506,-155.78151100000002,High
50758.0,OBSTRUCTION,,61.204725,-150.090553,Med
50759.0,OBSTRUCTION,Obstruction - Covers/uncovers (awash),61.188892,-150.08138300000002,Med
50760.0,OBSTRUCTION,,61.210556000000004,-150.12555600000002,Med
50763.0,OBSTRUCTION,Rock - Covered at low water,59.399657999999995,-151.916542,High
51716.0,OBSTRUCTION,Rock - Awash,60.427089,-146.054375,High
51717.0,OBSTRUCTION,Rock - Awash,60.448703,-146.050681,High
51718.0,OBSTRUCTION,Rock - Awash,60.449118999999996,-146.04993100000002,High
51719.0,OBSTRUCTION,Rock - Awash,60.449592,-146.048958,High
51720.0,OBSTRUCTION,Rock - Awash,60.497647,-145.923675,High
51752.0,OBSTRUCTION,Obstruction - Submerged,57.54010600000001,-153.986861,Med
51753.0,OBSTRUCTION,Obstruction - Submerged,57.53849399999999,-153.98925,Med
51754.0,OBSTRUCTION,Obstruction - Submerged,57.5388,-153.987028,Med
51755.0,OBSTRUCTION,Rock - Awash,57.543328,-153.977722,High
50803.0,OBSTRUCTION,Obstruction - Submerged,60.658311,-146.253408,Low
50804.0,OBSTRUCTION,Rock - Covered at low water,60.393243999999996,-151.395547,High
50805.0,OBSTRUCTION,Rock - Awash,60.392192,-151.34596100000002,High
50169.0,OBSTRUCTION,Obstruction - Submerged,60.581414,-145.717989,High
50170.0,OBSTRUCTION,Obstruction - Covers/uncovers (awash),60.562414000000004,-145.793586,High
50172.0,OBSTRUCTION,Obstruction - Visible at high water,60.477782999999995,-145.942006,Med
50173.0,OBSTRUCTION,Obstruction - Covers/uncovers (awash),60.456161,-145.979297,High
50174.0,OBSTRUCTION,Rock - Covered at low water,60.972972,-150.8215,High
50175.0,OBSTRUCTION,Obstruction - Submerged,60.520153,-151.335786,High
50176.0,OBSTRUCTION,Obstruction - Submerged,60.520136,-151.338644,High
50177.0,OBSTRUCTION,Not Charted,60.323358,-151.41271899999998,Med
50178.0,OBSTRUCTION,Not Charted,60.335525,-151.431389,High
51211.0,OBSTRUCTION,Rock - Awash,56.712586,-157.147044,High
51216.0,OBSTRUCTION,Obstruction - Submerged,60.492746999999994,-151.438425,High
50179.0,OBSTRUCTION,Not Charted,60.325747,-151.452867,High
50180.0,OBSTRUCTION,Rock - Covered at low water,59.192657999999994,-151.765447,Med
50181.0,OBSTRUCTION,Obstruction - Submerged,59.208994,-151.816003,
50182.0,OBSTRUCTION,Obstruction - Visible at high water,57.364306000000006,-156.404044,High
50576.0,OBSTRUCTION,,59.51438100000001,-152.65551100000002,Med
50854.0,OBSTRUCTION,Obstruction - Submerged,57.111525,-156.408694,Low
50856.0,OBSTRUCTION,Rock - Covered at low water,57.133386,-156.321725,Low
50858.0,OBSTRUCTION,Rock - Covered at low water,57.06533100000001,-156.433378,High
50859.0,OBSTRUCTION,Rock - Covered at low water,57.10770600000001,-156.476906,High
50863.0,OBSTRUCTION,Rock - Covered at low water,59.492031000000004,-151.481703,High
50864.0,OBSTRUCTION,Rock - Covered at low water,59.492206,-151.482575,High
50867.0,OBSTRUCTION,Rock - Awash,59.504939,-151.505442,Med
50868.0,OBSTRUCTION,Rock - Awash,59.504939,-151.51738600000002,Med
50869.0,OBSTRUCTION,Rock - Awash,59.505217,-151.50516399999998,Med
50263.0,OBSTRUCTION,Rock - Covered at low water,60.586119,-145.762464,High
50264.0,OBSTRUCTION,,61.142222,-150.324722,Med
50597.0,OBSTRUCTION,,61.140558,-150.35666899999998,Med
50599.0,OBSTRUCTION,Obstruction - Submerged,59.907442,-151.834406,Med
50600.0,OBSTRUCTION,Obstruction - Submerged,59.878553000000004,-151.863011,Med
50872.0,OBSTRUCTION,Rock - Awash,59.512164,-151.489608,Med
50873.0,OBSTRUCTION,Rock - Awash,59.513553,-151.49433100000002,Med
50874.0,OBSTRUCTION,Rock - Awash,59.513831,-151.494608,Med
50875.0,OBSTRUCTION,Rock - Awash,59.51410799999999,-151.493775,Med
50876.0,OBSTRUCTION,Rock - Awash,59.506606000000005,-151.530442,Med
50877.0,OBSTRUCTION,Rock - Awash,59.500496999999996,-151.472106,Med
50903.0,OBSTRUCTION,Obstruction - Submerged,57.325886,-156.514236,High
50624.0,OBSTRUCTION,Obstruction - Visible at high water,59.431883,-151.71738100000002,High
52983.0,OBSTRUCTION,Obstruction - Submerged,55.34151899999999,-160.504281,Med
52988.0,OBSTRUCTION,Obstruction - Submerged,61.125671999999994,-146.33295,High
52990.0,OBSTRUCTION,Obstruction - Submerged,61.124157999999994,-146.357547,High
52992.0,OBSTRUCTION,Obstruction - Submerged,61.120422,-146.28825600000002,High
52993.0,OBSTRUCTION,Obstruction - Submerged,61.112547,-146.271222,High
52994.0,OBSTRUCTION,Obstruction - Submerged,61.110519,-146.267589,High
52995.0,OBSTRUCTION,Obstruction - Submerged,61.113975,-146.274014,High
52006.0,OBSTRUCTION,Obstruction - Submerged,60.873081000000006,-147.321503,Med
52007.0,OBSTRUCTION,Obstruction - Submerged,61.011146999999994,-147.527906,Low
52013.0,OBSTRUCTION,Obstruction - Submerged,60.942042,-147.131956,High
52497.0,OBSTRUCTION,Obstruction - Submerged,60.069883,-147.495175,High
52499.0,OBSTRUCTION,Rock - Awash,60.269806,-147.717917,Low
52505.0,OBSTRUCTION,Rock - Awash,59.924217000000006,-149.71651699999998,Med
52755.0,OBSTRUCTION,Rock - Awash,55.654807999999996,-157.174247,Low
52758.0,OBSTRUCTION,Rock - Awash,55.783333,-157.416667,Low
52759.0,OBSTRUCTION,Rock - Awash,55.678842,-157.125139,Poor
52997.0,OBSTRUCTION,Obstruction - Submerged,61.089197,-146.301603,High
52998.0,OBSTRUCTION,Obstruction - Submerged,61.087056000000004,-146.363378,High
53000.0,OBSTRUCTION,Obstruction - Submerged,61.09013100000001,-146.387842,Med
52051.0,OBSTRUCTION,Obstruction - Submerged,56.40305600000001,-157.766944,Low
52052.0,OBSTRUCTION,Obstruction - Covers/uncovers (awash),56.55423100000001,-157.798719,Low
52117.0,OBSTRUCTION,Rock - Covered at low water,60.93244,-146.98671000000002,High
52123.0,OBSTRUCTION,Rock - Awash,60.770647,-147.807742,Low
52125.0,OBSTRUCTION,Obstruction - Submerged,60.65605600000001,-147.456986,Low
52188.0,OBSTRUCTION,Rock - Covered at low water,60.518547,-151.41128899999998,High
52797.0,OBSTRUCTION,Obstruction - Visible at high water,60.113411,-149.429792,Med
52803.0,OBSTRUCTION,Obstruction - Submerged,60.113192000000005,-149.435914,Med
52806.0,OBSTRUCTION,Obstruction - Visible at high water,60.111197,-149.434042,High
52807.0,OBSTRUCTION,Obstruction - Submerged,60.109618999999995,-149.432647,High
52808.0,OBSTRUCTION,Obstruction - Visible at high water,60.109258,-149.433961,High
52809.0,OBSTRUCTION,Obstruction - Submerged,60.104478,-149.43324199999998,High
52810.0,OBSTRUCTION,Obstruction - Visible at high water,60.09865,-149.441978,High
52814.0,OBSTRUCTION,Obstruction - Visible at high water,60.097114000000005,-149.444822,High
52194.0,OBSTRUCTION,Rock - Covered at low water,60.724739,-151.464333,High
52195.0,OBSTRUCTION,Rock - Covered at low water,60.727042000000004,-151.464664,High
52196.0,OBSTRUCTION,Obstruction - Submerged,60.687767,-151.536131,Med
52197.0,OBSTRUCTION,Obstruction - Submerged,60.734139,-151.521669,Med
52820.0,OBSTRUCTION,Obstruction - Visible at high water,60.008933,-149.301308,High
52821.0,OBSTRUCTION,Rock - Awash,59.98568100000001,-149.386092,High
52823.0,OBSTRUCTION,Obstruction - Submerged,60.115221999999996,-149.435278,Med
53119.0,OBSTRUCTION,Obstruction - Submerged,56.995833,-153.428667,Med
53125.0,OBSTRUCTION,Obstruction - Submerged,61.053914,-146.704817,High
53129.0,OBSTRUCTION,Obstruction - Visible at high water,60.895989,-146.704222,Med
53130.0,OBSTRUCTION,Obstruction - Visible at high water,60.891611,-146.703692,Med
53132.0,OBSTRUCTION,,60.866111,-146.66222199999999,Med
53134.0,OBSTRUCTION,,60.881944,-146.756944,Med
52225.0,OBSTRUCTION,Obstruction - Visible at high water,60.677161,-148.291231,Low
52226.0,OBSTRUCTION,Obstruction - Visible at high water,60.694942000000005,-148.234003,Low
52227.0,OBSTRUCTION,Obstruction - Visible at high water,60.694386,-148.398747,Low
52229.0,OBSTRUCTION,Obstruction - Visible at high water,60.789403,-148.562108,Low
52230.0,OBSTRUCTION,Obstruction - Visible at high water,60.794403,-148.538772,Low
52231.0,OBSTRUCTION,Obstruction - Visible at high water,60.796068999999996,-148.555442,Low
52239.0,OBSTRUCTION,Obstruction - Submerged,60.778139,-148.69263899999999,Med
52240.0,OBSTRUCTION,Obstruction - Submerged,60.779167,-148.691667,High
52582.0,OBSTRUCTION,Obstruction - Submerged,57.55566700000001,-153.963078,High
52583.0,OBSTRUCTION,Obstruction - Submerged,57.556825,-153.948519,High
52586.0,OBSTRUCTION,Rock - Covered at low water,59.92425,-149.716194,High
52597.0,OBSTRUCTION,Obstruction - Visible at high water,59.888611,-147.75983300000001,High
52243.0,OBSTRUCTION,Rock - Covered at low water,60.747639,-148.2875,Med
52598.0,OBSTRUCTION,Obstruction - Visible at high water,59.874528000000005,-147.815278,High
52600.0,OBSTRUCTION,Rock - Covered at low water,59.736000000000004,-147.854778,Low
52601.0,OBSTRUCTION,Rock - Awash,60.103108,-147.888378,High
52602.0,OBSTRUCTION,Obstruction - Visible at high water,60.079514,-147.932825,High
52605.0,OBSTRUCTION,Obstruction - Visible at high water,60.05611700000001,-148.05505300000002,High
52607.0,OBSTRUCTION,Obstruction - Visible at high water,60.052275,-148.06299199999998,High
52609.0,OBSTRUCTION,Obstruction - Visible at high water,60.046631000000005,-148.05684399999998,High
52610.0,OBSTRUCTION,Obstruction - Visible at high water,60.044442000000004,-148.05551100000002,High
