Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
8745.0,OBSTRUCTION,Obstruction - Visible at high water,18.3125,-64.95894399999999,Low
11858.0,OBSTRUCTION,Obstruction - Submerged,18.326656,-64.95809200000001,High
11859.0,OBSTRUCTION,Obstruction - Submerged,18.3305,-64.960986,Low
11016.0,OBSTRUCTION,Obstruction - Submerged,17.963672,-66.619553,Med
11760.0,OBSTRUCTION,Obstruction - Submerged,18.004510999999994,-66.766511,High
11050.0,OBSTRUCTION,Obstruction - Submerged,18.335,-64.927222,Med
11761.0,OBSTRUCTION,Obstruction - Submerged,17.991619,-66.765986,High
11763.0,OBSTRUCTION,Obstruction - Submerged,17.941867000000006,-66.625753,High
11764.0,OBSTRUCTION,Obstruction - Submerged,17.967397000000005,-66.620514,High
11765.0,OBSTRUCTION,Obstruction - Submerged,17.972775,-66.644908,High
11766.0,OBSTRUCTION,Obstruction - Submerged,17.969492000000006,-66.644722,High
11769.0,OBSTRUCTION,Obstruction - Visible at high water,17.966997,-66.616647,High
11770.0,OBSTRUCTION,Obstruction - Submerged,17.961333,-66.621789,High
11475.0,OBSTRUCTION,Obstruction - Submerged,18.472944000000002,-66.12827800000001,Med
11476.0,OBSTRUCTION,Obstruction - Visible at high water,18.458864000000002,-66.116197,High
11479.0,OBSTRUCTION,Obstruction - Submerged,18.460122,-66.104978,High
11480.0,OBSTRUCTION,Obstruction - Visible at high water,18.458758,-66.09088299999999,Low
11481.0,OBSTRUCTION,Obstruction - Visible at high water,18.447192,-66.10235300000001,Low
11482.0,OBSTRUCTION,Obstruction - Visible at high water,18.447942,-66.101403,High
11487.0,OBSTRUCTION,Obstruction - Submerged,18.327122,-64.954472,High
1238.0,OBSTRUCTION,Obstruction - Submerged,18.441333,-66.108083,Med
789.0,OBSTRUCTION,Obstruction - Submerged,17.748028,-64.702917,Low
793.0,OBSTRUCTION,Obstruction - Submerged,18.359397,-64.768192,Low
6821.0,OBSTRUCTION,Obstruction - Submerged,18.0783,-65.386825,Low
6822.0,OBSTRUCTION,Obstruction - Submerged,18.086356,-65.382936,Low
6823.0,OBSTRUCTION,Obstruction - Submerged,18.081910999999998,-65.385436,Low
7055.0,OBSTRUCTION,Rock - Awash,18.469639,-66.152389,Low
7056.0,OBSTRUCTION,Obstruction - Submerged,18.470778,-66.081556,High
7057.0,OBSTRUCTION,Obstruction - Submerged,18.474711,-66.140606,High
14043.0,OBSTRUCTION,Obstruction - Submerged,18.331056,-64.93382199999999,High
13778.0,OBSTRUCTION,Obstruction - Submerged,18.463542,-66.106247,High
13779.0,OBSTRUCTION,Obstruction - Submerged,18.431606,-66.110047,High
13781.0,OBSTRUCTION,Obstruction - Submerged,18.463594,-66.106575,High
13782.0,OBSTRUCTION,Obstruction - Submerged,18.460122,-66.104897,High
13783.0,OBSTRUCTION,Obstruction - Submerged,18.453919,-66.10575,High
10078.0,OBSTRUCTION,Obstruction - Visible at high water,18.225111,-65.625361,Low
10080.0,OBSTRUCTION,Obstruction - Submerged,18.223556,-65.634861,High
10081.0,OBSTRUCTION,Obstruction - Submerged,18.22275,-65.601833,Low
9769.0,OBSTRUCTION,Obstruction - Submerged,18.330156,-64.934744,High
9776.0,OBSTRUCTION,Obstruction - Submerged,18.331039,-64.933814,High
9779.0,OBSTRUCTION,Obstruction - Submerged,18.338082999999997,-64.939239,High
9780.0,OBSTRUCTION,Obstruction - Submerged,18.330489,-64.942769,High
9783.0,OBSTRUCTION,Obstruction - Submerged,18.333306,-64.944833,High
9786.0,OBSTRUCTION,Obstruction - Submerged,18.329708,-64.941242,High
9788.0,OBSTRUCTION,Obstruction - Submerged,18.321869,-64.92788900000001,High
9792.0,OBSTRUCTION,Obstruction - Submerged,18.326142,-64.9543,High
