Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality,Dive Site Name,Dive Site ID,Distance from Wreck
14620,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.143528,-80.11455600000002,High,Presque Isle,23369,1.97
14292,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.49828400000001,-81.75959300000002,High,Mecosta,23908,17.20
14296,ALGERIA,"Wreck - Submerged, dangerous to surface navigation",41.520448,-81.716076,High,Mecosta,23908,16.96
14298,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.512713,-81.709879,High,Mecosta,23908,16.34
14207,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.993389,-82.426583,High,St. Clair River,22589,0.10
10689,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.19175,-83.141611,Low,,,
10691,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.240583,-83.13325,Low,,,
10695,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.326972,-83.039917,Low,Thelma Spencer Park,22244,21.13
10696,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.336806,-83.012833,Low,Thelma Spencer Park,22244,20.75
10700,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.548333,-82.595,Low,"Harsens Island, MI",24536,2.50
10702,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.553361,-82.58658299999998,Low,"Harsens Island, MI",24536,1.97
6837,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.897,-78.908647,High,,,
6838,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.902556,-78.901703,Low,,,
6839,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.958667,-78.930425,High,,,
6840,UNKNOWN,Wreck - Visible,42.970611,-78.94503900000002,High,,,
6841,UNKNOWN,Wreck - Visible,42.974778,-78.944761,High,,,
6842,UNKNOWN,Wreck - Visible,42.986444,-78.94115,High,,,
6847,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.073667,-78.993375,High,,,
6848,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.044722,-78.890592,High,,,
