,Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
0,14620,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.143528,-80.11455600000001,High
1,14292,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498284000000005,-81.75959300000001,High
2,14296,ALGERIA,"Wreck - Submerged, dangerous to surface navigation",41.520447999999995,-81.716076,High
3,14298,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.512713,-81.709879,High
4,14207,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.993389,-82.426583,High
5,10689,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.19175,-83.141611,Low
6,10691,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.240583,-83.13325,Low
7,10695,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.326972,-83.039917,Low
8,10696,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.336806,-83.012833,Low
9,10700,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.548333,-82.595,Low
10,10702,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.553360999999995,-82.58658299999999,Low
11,6837,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.897,-78.908647,High
12,6838,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.902556,-78.901703,Low
13,6839,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.958667,-78.930425,High
14,6840,UNKNOWN,Wreck - Visible,42.970611,-78.94503900000001,High
15,6841,UNKNOWN,Wreck - Visible,42.974778,-78.944761,High
16,6842,UNKNOWN,Wreck - Visible,42.986444,-78.94115,High
17,6847,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.073667,-78.993375,High
18,6848,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.044722,-78.890592,High
19,6849,UNKNOWN,Wreck - Visible,43.025694,-78.893231,High
20,6850,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.04925,-79.00156899999999,High
21,6851,UNKNOWN,Wreck - Visible,43.064389,-78.99029200000001,High
22,6852,UNKNOWN,Wreck - Visible,43.050211,-78.91515,High
